parent_node_name,node_name,node_type
C.01 - RIG POWER PLANT, C.01.02 - DC -Generator, Organization
C.01 - RIG POWER PLANT, C.01.03 - AC -Generator, Organization
C.01 - RIG POWER PLANT, C.01.04 - SCR System, Organization
C.01 - RIG POWER PLANT, C.01.05 - VFD System, Organization
C.01 - RIG POWER PLANT, C.01.06 - Transformer System, Organization
C.01 - RIG POWER PLANT, C.01.07 - Emergency Shutdown, Organization
C.01 - RIG POWER PLANT, C.01.08 - Auxilliary Power Supply, Organization
C.01 - RIG POWER PLANT, C.01.09 - Compressed Air Systems, Organization
C.01 - RIG POWER PLANT, C.01.10 - Air Receivers, Organization
C.02 - EMERGENCY GENERATOR, C.02.01 - Engine, Organization
C.02 - EMERGENCY GENERATOR, C.02.02 - AC - Generator, Organization
C.02 - EMERGENCY GENERATOR, C.02.03 - Emergency Power Supply, Organization
C.03 - UPS Systems, C.03.01 - UPS for Main Distribution, Organization
C.03 - UPS Systems, C.03.02 - UPS for Drilling VFD, Organization
C.03 - UPS Systems, C.03.03 - UPS for BOP, Organization
C.03 - UPS Systems, C.03.04 - UPS for Drilling Control, Organization
C.03 - UPS Systems, C.03.05 - UPS for PAGA System, Organization
C.03 - UPS Systems, C.03.05 - UPS for ESD System, Organization
C.03 - UPS Systems, C.03.06 - UPS for Heli Deck Light, Organization
C.03 - UPS Systems, C.03.07 - UPS for general use, Organization
C.03 - UPS Systems, C.03.08 - UPS for communications, Organization
C.03 - UPS Systems, C.03.09 - UPS for D/G, Organization
C.03 - UPS Systems, C.03.10 - UPS for mud mixing, Organization
C.01.01 - Diesel Engines, Caterpiller 3516 CHD, Equipment
C.01.03 - AC -Generator, Kato 6P6.6-3200HR, Equipment
C.01.04 - SCR System, OEM VFD, Equipment
C.01.06 - Transformer System, Olsun K4, Equipment
C.01.07 - Emergency Shutdown, Rig Floor / Control Room, Equipment
C.01.09 - Compressed Air Systems, Ingersoll Rand 2545, Equipment
C.01.09 - Compressed Air Systems, Domnick Hunter modular desiccant, Equipment
C.01.09 - Compressed Air Systems, Quincy QSI-600 Rotary Screw, Equipment
C.01.09 - Compressed Air Systems, Domnick Hunter MPXs112/DS, Equipment
C.01.10 - Air Receivers, Air Pressure Tank 1060 gal Port, Equipment
C.01.10 - Air Receivers, Air Pressure Tank 1060 gal Starboardfrom treenode, Equipment
C.01.10 - Air Receivers, Air Pressure Tank 400 gal, Equipment
C.02.01 - Engine, Caterpillar 3516 C, Equipment
C.02.02 - AC - Generator, KATO / AA27832003, Equipment
C.04 - Machinery Space Ventilation, Main Engine Room Supply Fan, Equipment
C.04 - Machinery Space Ventilation, Main Engine Room Exhaust Fan, Equipment
C.04 - Machinery Space Ventilation, Mud Pump Room Supply Fan, Equipment
C.04 - Machinery Space Ventilation, Mud Pump Room Exhaust Fan, Equipment
C.04 - Machinery Space Ventilation, Emergency Generator Room Supply Fan, Equipment
Main Engine Room Supply Fan, Installation quality, Acceptance
Main Engine Room Supply Fan, Verify air flow direction, Acceptance
Lewco LDW3000 HD, Verfiy minimum deadline wraps, Acceptance
Caterpiller 3516 CHD, Installation quality, Acceptance
Caterpiller 3516 CHD, Test Rig Saver, Acceptance
Caterpiller 3516 CHD, Verify Gauges are functional, Acceptance
Caterpiller 3516 CHD, check oil quality, Acceptance
